town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,vax_level
Randolph,0.229,-0.191,12.1,52.6,37.1,9.9,430.8,27.8,0.153,113.0,21.0,56.7,1355.0,2392.0,52.0,5.96,143.0,17.1,30.1,0.9,1.9,12.1,19.5,2.75,24.5,11.0,8.5,24049,-0.05,1.5,11.8,40.4,57.2,82.9,-0.202,12.8,75.7,169.0,18.3,7.1,2.22,0.007,58.0,170.0,0.13,15612.0,85.2,14.4,-0.003,38.8,0.9,20.0,0.814,7.6,92.4,69040.0,0.45,261,38.3,20295,0.16,49.9,17455,58.0,9252.0,medium
Raynham,0.12,-0.17,12.0,235.4,58.2,9.3,469.6,,0.077,196.4,33.0,54.9,1269.0,2264.0,51.3,6.63,150.0,10.2,86.9,0.0,11.3,9.6,5.9,2.71,20.6,12.1,7.4,31544,0.01,0.5,18.7,39.0,92.1,,0.22,26.1,53.5,273.0,25.3,12.1,4.52,0.001,6.0,251.0,0.09,,71.7,38.5,,43.0,4.5,3.2,0.919,5.5,94.5,,,378,14.1,9797,1.05,23.4,8811,1.5,3747.0,medium
Reading,0.161,-0.025,9.5,73.2,42.0,8.6,441.1,20.4,0.105,90.1,78.0,37.1,1471.0,3967.0,51.5,3.87,154.0,13.0,34.0,36.4,2.8,29.5,4.2,2.64,23.5,19.5,9.6,42071,-0.12,0.3,8.9,40.7,60.5,9.6,-0.11,13.1,28.7,171.0,21.3,4.3,0.77,0.01,180.0,75.0,0.102,11051.0,89.9,15.2,0.012,43.9,1.2,14.4,0.947,7.0,93.0,64129.0,0.41,299,4.0,17583,0.27,30.6,16952,34.0,7351.0,medium
Rehoboth,0.049,-0.139,6.6,212.8,39.6,10.7,472.5,,0.013,103.0,17.0,63.6,1115.0,1753.0,50.0,1.64,29.0,6.8,97.1,30.2,16.9,17.0,5.6,2.83,15.5,11.4,5.1,34375,-0.02,0.3,18.1,42.8,86.3,,0.437,39.1,50.5,192.0,22.3,11.0,2.14,0.001,83.0,155.0,0.136,,91.5,30.2,,39.9,6.0,4.9,0.878,3.9,96.1,,,428,11.9,8576,1.1,18.5,7917,-5.0,2969.0,low
Revere,0.62,-0.207,14.6,68.4,49.8,9.4,351.3,20.1,0.185,74.4,16.0,53.6,1156.0,1855.0,51.0,6.91,128.0,9.5,25.3,1.5,,37.6,16.4,2.52,32.0,10.7,8.4,19195,0.25,1.9,13.7,38.2,35.5,59.1,-0.179,9.9,51.6,138.0,18.4,7.4,0.41,0.014,55.0,236.0,0.099,13277.0,84.6,17.1,0.102,39.2,0.2,34.5,0.946,8.3,91.7,74594.0,0.54,203,50.8,26298,0.12,47.8,20890,29.0,17705.0,high
Richmond,0.032,-0.04,3.4,420.3,,10.2,477.3,16.2,0.01,92.9,42.0,62.2,1959.0,2720.0,51.5,1.43,39.0,5.8,107.8,40.7,6.5,25.2,3.3,2.24,25.7,26.3,13.9,42327,-0.15,0.0,6.8,52.2,68.7,7.5,-0.364,14.2,10.7,2.0,,0.1,1.0,-0.006,44.0,,0.091,14140.0,94.5,12.2,-0.165,45.0,68.2,14.6,0.954,5.2,94.8,,0.18,404,,1167,0.19,33.5,1057,58.0,235.0,medium
Rochester,0.078,-0.115,7.6,359.3,28.5,10.9,460.4,19.1,0.033,77.8,38.0,62.1,2067.0,3221.0,49.6,0.88,28.0,8.4,154.7,3.8,2.8,10.0,6.4,2.88,14.9,13.1,5.7,33377,0.01,0.2,7.6,41.3,111.3,6.1,0.444,44.2,44.7,173.0,19.0,5.4,2.94,0.006,44.0,117.0,0.248,12270.0,86.9,48.5,-0.121,42.8,13.3,11.7,0.954,9.6,90.4,77806.0,0.31,462,11.3,4065,1.31,19.3,3833,-6.0,1249.0,medium
Rockland,0.277,-0.159,12.9,138.9,,10.0,422.4,19.3,0.153,81.7,32.0,48.2,1192.0,2391.0,52.2,6.01,144.0,21.0,56.1,4.0,5.4,31.9,7.7,2.58,26.6,12.3,7.4,24654,0.01,1.3,17.2,40.3,60.6,16.8,0.054,22.4,43.8,170.0,23.3,7.1,0.95,0.005,25.0,,0.381,13081.0,79.0,25.5,-0.074,39.0,5.7,24.8,0.841,8.6,91.4,73421.0,0.3,361,,12505,0.57,27.1,9994,11.0,4631.0,medium
Rockport,0.247,-0.095,5.5,620.0,8.6,9.5,474.5,14.7,0.121,29.6,78.0,44.0,1456.0,2931.0,53.9,1.23,36.0,21.6,61.9,14.4,8.3,50.3,2.1,2.14,36.5,22.9,7.5,37199,-0.03,0.7,12.9,51.8,50.7,6.6,-0.097,21.4,22.4,187.0,21.4,6.4,0.64,0.008,123.0,21.0,0.196,15484.0,93.4,53.9,-0.072,46.1,0.0,8.7,0.942,6.8,93.2,72438.0,0.23,349,4.2,5789,0.29,24.7,5275,48.0,1145.0,medium
Rowe,0.005,0.063,7.6,356.2,,11.7,427.5,,0.0,30.5,581.0,41.0,3341.0,7625.0,52.2,1.37,105.0,15.0,121.8,0.0,0.0,38.4,4.4,2.35,26.3,33.1,10.1,31529,-0.05,2.5,,56.7,74.3,8.8,0.75,53.4,12.0,69.0,,0.9,0.97,0.003,1.0,,0.469,,19.0,17.8,-0.094,45.5,888.3,4.4,0.969,3.2,96.8,60796.0,0.24,499,,290,0.17,21.6,267,15.0,47.0,very high
Rowley,0.131,-0.115,8.4,618.2,11.9,10.1,448.8,,0.071,74.6,40.0,54.4,1351.0,2475.0,50.5,2.73,68.0,5.4,86.9,6.8,14.4,14.9,3.6,2.69,18.6,16.3,5.5,37557,0.01,0.2,18.8,45.7,88.3,,0.084,33.0,28.3,220.0,22.1,8.9,2.31,0.008,42.0,29.0,0.132,,84.6,46.3,,37.7,0.0,3.4,0.931,3.9,96.1,,,431,6.7,4533,1.08,17.9,4227,6.0,1441.0,medium
Royalston,0.026,-0.023,9.5,286.2,,11.4,445.9,,,15.9,40.0,33.8,448.0,1207.0,50.2,3.71,45.0,7.4,198.1,7.9,0.0,35.8,3.5,2.53,26.1,20.4,4.3,22745,0.21,0.8,23.8,46.0,91.4,,0.696,62.0,34.1,56.0,7.9,4.7,0.5,0.003,10.0,,0.068,,95.0,34.2,,31.5,420.0,11.1,1.0,,85.3,,,493,,877,0.48,16.5,787,6.0,270.0,low
Russell,0.076,-0.064,13.5,445.1,,11.4,354.9,,0.0,110.4,29.0,62.5,1110.0,1776.0,50.8,2.96,53.0,6.5,159.9,5.6,90.1,25.5,5.7,2.7,16.3,7.1,7.5,23800,-0.01,0.0,22.5,38.7,76.1,,0.587,41.1,36.6,17.0,,1.0,0.37,0.001,,,0.073,,87.8,25.9,,29.0,281.5,7.9,0.857,8.6,91.5,,,436,,1023,0.27,19.0,919,-16.0,490.0,low
Rutland,0.113,-0.153,11.0,299.8,60.0,9.0,400.9,,0.063,54.7,23.0,54.7,1046.0,1891.0,50.5,1.24,24.0,6.2,104.7,1.3,9.6,13.7,4.7,2.85,19.1,16.3,3.2,30925,0.08,0.4,12.5,39.4,98.7,,0.127,24.5,36.5,83.0,11.2,4.4,1.61,0.004,18.0,76.0,0.177,,94.8,28.2,,34.1,142.5,9.9,0.953,11.2,88.8,,,384,23.5,5856,1.71,20.8,5675,3.0,2298.0,high
Salem,0.571,-0.122,11.6,302.9,41.5,9.8,408.6,8.6,0.311,120.9,55.0,44.6,1215.0,2671.0,53.5,6.4,171.0,19.4,32.0,11.4,4.4,56.9,13.3,2.22,35.3,14.9,6.3,25294,0.01,1.7,21.0,37.0,36.3,47.8,-0.044,14.8,30.5,189.0,21.9,7.1,-0.01,0.008,244.0,227.0,0.113,14706.0,82.2,21.0,-0.012,29.7,0.2,21.4,0.931,14.1,85.9,68846.0,0.36,237,37.8,28481,0.28,39.0,24018,52.0,11284.0,high
Salisbury,0.319,-0.092,8.8,464.8,64.7,10.3,467.1,,0.151,125.4,21.0,50.8,1162.0,2201.0,51.6,5.93,131.0,11.2,68.3,1.2,15.7,19.4,3.7,2.39,29.9,15.1,5.6,24381,0.06,1.6,39.8,45.6,72.3,,-0.042,32.7,44.2,224.0,21.6,10.2,2.07,0.008,25.0,268.0,0.141,,80.9,37.1,,37.2,2.4,3.9,0.964,5.9,94.1,,,383,42.7,5976,0.71,24.2,5556,4.0,1928.0,low
Sandisfield,0.005,-0.16,5.5,306.0,,12.0,425.1,,0.0,66.7,28.0,51.9,1398.0,2693.0,46.4,2.31,62.0,6.8,152.7,32.8,60.0,23.9,1.5,2.28,28.1,19.0,7.0,16435,-0.1,0.0,54.6,46.9,77.8,,0.409,33.9,39.8,51.0,,1.9,1.09,-0.005,20.0,,0.181,,90.0,16.4,,41.5,296.7,3.3,0.94,6.6,93.4,,,477,,615,0.45,35.6,515,21.0,178.0,low
Sandwich,0.061,-0.154,7.0,464.3,28.6,9.5,435.1,18.7,0.045,80.3,58.0,46.7,1452.0,3065.0,51.8,6.17,189.0,19.3,69.7,3.9,9.8,6.8,3.9,2.61,21.3,25.6,0.8,31582,-0.05,0.5,19.8,43.5,83.0,3.8,0.322,19.1,26.9,164.0,16.8,5.4,7.55,-0.001,84.0,152.0,0.131,12087.0,86.9,54.2,-0.126,44.8,2.4,14.6,0.92,10.4,89.6,64939.0,0.21,411,18.7,15659,1.68,21.3,14061,12.0,4119.0,medium
Saugus,0.173,-0.104,9.5,113.0,64.8,9.4,451.8,19.8,0.082,118.5,30.0,42.6,1081.0,2415.0,52.4,5.42,131.0,22.5,54.9,1.9,5.2,32.6,6.8,2.55,25.8,12.1,10.6,28050,0.03,1.4,16.5,42.8,53.0,19.1,0.022,22.9,50.6,185.0,26.1,7.7,0.55,0.008,87.0,294.0,0.102,12690.0,78.3,22.3,-0.026,45.2,0.4,10.0,0.845,6.8,93.2,65695.0,0.4,324,31.0,18024,0.14,33.3,15797,3.0,7071.0,medium
Savoy,0.012,-0.115,10.1,549.1,,10.2,380.1,5.7,0.0,91.0,3.0,51.2,1304.0,2150.0,49.3,0.79,17.0,7.2,197.7,14.5,74.8,26.3,11.2,2.32,28.2,9.4,6.3,21451,0.09,2.9,43.4,42.9,75.9,9.6,0.235,60.7,13.4,9.0,,0.4,1.38,-0.006,7.0,,0.042,13384.0,92.6,7.2,-0.226,36.9,1424.4,36.8,0.907,14.6,85.4,44898.0,0.32,533,,462,0.76,17.5,399,16.0,113.0,high
Scituate,0.089,-0.111,7.7,937.0,28.0,9.5,413.3,18.9,0.058,21.6,56.0,54.2,1614.0,2951.0,52.1,7.7,227.0,16.4,54.2,3.9,,27.7,4.0,2.62,24.4,19.8,8.5,45176,-0.03,0.3,14.9,44.7,69.5,5.4,-0.077,13.8,30.9,182.0,17.0,6.2,2.03,0.006,141.0,116.0,0.169,12311.0,95.5,39.8,-0.006,48.8,4.4,9.1,,6.1,93.9,74936.0,0.31,384,12.5,13780,0.15,26.3,13530,30.0,3547.0,high
Seekonk,0.036,-0.149,7.1,124.6,33.5,10.4,534.4,20.1,0.008,227.2,59.0,48.8,1436.0,2909.0,51.5,4.45,130.0,19.6,46.9,1.5,8.7,13.0,6.4,2.71,17.7,9.5,11.9,31649,-0.04,0.1,30.6,42.9,66.9,8.4,0.382,28.2,42.4,208.0,26.1,7.2,1.25,0.001,46.0,288.0,0.125,11898.0,75.1,21.8,-0.034,44.9,3.6,14.8,0.902,5.0,95.0,71023.0,0.32,395,24.5,9638,0.38,22.1,8955,9.0,3465.0,low
Sharon,0.081,-0.051,7.1,103.9,33.3,8.0,474.1,18.1,0.055,86.3,60.0,59.3,2056.0,3386.0,51.8,4.08,138.0,6.4,29.3,2.8,3.2,13.2,6.0,2.82,16.1,28.3,7.3,55268,-0.02,0.3,6.2,42.5,73.3,32.8,-0.072,10.9,29.9,180.0,19.8,5.3,2.63,0.007,142.0,61.0,0.096,14527.0,92.1,14.0,0.011,46.4,1.1,13.6,0.839,9.2,90.8,69283.0,0.39,293,8.4,12799,0.53,33.3,11617,53.0,4638.0,high
Sheffield,0.031,0.013,8.3,270.2,,11.2,495.9,,0.0,27.9,50.0,69.5,1814.0,2524.0,50.3,0.79,20.0,6.4,147.4,15.4,12.1,37.6,2.9,2.28,31.1,12.4,10.1,25501,-0.21,0.3,27.6,48.8,66.8,,0.098,37.8,19.0,130.0,18.3,5.1,0.51,-0.006,104.0,,0.115,,85.0,10.7,,42.7,129.8,3.3,0.87,19.2,80.8,,,485,,2267,0.51,28.6,2162,45.0,618.0,medium
Shelburne,0.198,0.021,9.5,243.0,,11.4,551.0,,0.019,63.9,40.0,57.6,1004.0,1600.0,50.7,,,7.0,114.9,15.8,28.6,55.2,7.5,2.18,33.7,22.8,9.0,17742,-0.04,0.5,68.7,50.1,68.5,,-0.135,33.8,23.6,99.0,10.5,6.2,0.08,0.003,39.0,84.0,0.069,,79.8,22.2,,44.1,374.1,6.0,0.876,9.5,90.5,,,376,5.2,1379,0.16,28.7,1174,61.0,468.0,very high
Sherborn,0.041,-0.066,7.8,102.0,36.0,9.8,469.0,17.3,0.023,160.7,155.0,64.0,3570.0,5363.0,51.3,1.98,106.0,8.0,72.1,58.3,1.9,18.8,4.0,2.86,15.1,33.6,6.1,150435,-0.02,0.0,7.3,44.6,76.7,18.4,0.282,12.1,11.1,332.0,38.6,6.2,2.31,0.01,166.0,67.0,0.115,15720.0,95.1,18.9,-0.167,53.9,16.8,4.1,0.898,8.5,91.5,92381.0,0.25,359,4.8,3140,0.23,25.0,2963,57.0,745.0,very high
Shirley,0.209,-0.134,9.8,156.7,19.3,9.7,376.6,,0.107,38.6,29.0,52.2,766.0,1305.0,41.0,2.2,29.0,12.7,74.5,5.5,15.1,19.6,6.6,2.54,24.5,17.3,4.6,23421,0.13,1.5,11.1,38.9,80.6,,0.294,28.7,34.9,97.0,19.3,7.4,0.69,0.008,37.0,59.0,0.186,,89.1,23.6,,36.4,15.1,8.7,0.92,16.6,83.4,54213.0,,297,24.5,4095,1.07,20.6,3700,16.0,2858.0,low
Shrewsbury,0.184,-0.063,9.3,206.7,19.3,8.6,463.4,22.0,0.134,98.9,44.0,52.7,1302.0,2470.0,51.2,3.29,81.0,13.9,45.2,0.8,6.0,13.7,7.3,2.62,24.6,20.9,6.2,41874,-0.02,0.2,10.4,38.8,68.3,31.1,0.243,14.9,31.6,111.0,14.8,4.5,2.36,0.003,171.0,76.0,0.13,11318.0,86.9,19.0,0.018,41.6,16.2,23.9,0.854,6.7,93.3,72532.0,0.39,300,1.7,23216,0.75,27.4,21131,31.0,10230.0,high
Shutesbury,0.037,-0.051,7.9,536.4,,10.1,543.2,14.9,0.002,54.2,30.0,60.3,1788.0,2839.0,52.3,1.8,51.0,11.6,90.1,5.6,18.6,14.0,13.9,2.48,23.4,46.3,2.6,21163,0.01,0.0,5.6,45.4,77.1,21.1,0.0,20.3,18.2,99.0,,3.5,7.31,0.003,36.0,,0.107,15436.0,96.9,20.9,-0.094,26.3,123.9,15.3,0.913,8.2,91.8,57637.0,0.17,339,,1477,1.65,44.9,1330,76.0,447.0,low
Somerset,0.058,,8.1,258.2,24.7,10.0,497.9,20.2,0.004,131.2,36.0,55.7,1502.0,2604.0,52.5,3.85,100.0,18.8,68.0,0.0,4.8,18.9,3.7,2.53,23.4,7.5,14.9,25318,-0.02,0.6,16.0,44.4,64.0,6.6,0.415,32.1,50.1,133.0,21.3,5.1,1.12,0.001,10.0,163.0,,12447.0,70.6,35.5,-0.337,58.1,1.6,9.1,0.978,7.7,92.3,,0.47,326,19.1,13406,0.19,38.9,11122,6.0,4558.0,low
Somerville,0.838,,12.4,24.2,54.2,9.4,393.0,17.8,0.263,69.2,29.0,27.9,665.0,2032.0,50.9,9.18,187.0,23.3,19.8,10.7,5.4,69.5,12.5,2.29,32.0,21.9,7.5,27132,0.05,1.1,15.4,30.7,28.7,63.9,-0.149,9.7,22.4,163.0,19.9,8.0,-0.26,0.01,860.0,224.0,,16506.0,84.9,10.1,0.009,25.9,0.1,21.0,0.903,12.6,87.4,80144.0,0.37,156,34.8,49047,0.18,53.4,42200,78.0,26527.0,high
South Hadley,0.248,-0.073,7.9,358.6,37.2,9.8,435.0,16.7,0.14,76.9,57.0,51.0,1088.0,2131.0,59.0,,,17.4,73.0,1.7,13.9,24.6,5.7,2.25,32.2,,11.9,25663,-0.01,0.6,16.0,40.0,53.0,15.3,0.071,17.2,23.8,134.0,17.6,6.3,0.73,-0.002,149.0,190.0,0.1,13310.0,90.5,14.1,-0.105,44.4,52.6,29.2,0.928,10.4,89.6,64819.0,0.32,285,23.8,11211,0.23,31.7,10059,33.0,3793.0,medium
Southampton,0.047,-0.02,6.4,486.9,29.4,10.5,480.3,18.2,0.028,44.9,20.0,61.3,1450.0,2287.0,51.5,1.35,31.0,10.9,147.2,3.5,7.2,6.1,4.3,2.58,20.3,16.8,8.2,32298,0.06,0.2,22.4,42.8,78.7,8.8,0.337,39.0,28.0,131.0,,5.7,3.18,-0.002,20.0,115.0,0.173,10074.0,93.9,19.9,-0.009,42.8,183.4,21.8,0.954,5.1,94.9,64206.0,0.24,446,5.1,4283,0.89,24.2,4194,10.0,1330.0,medium
Southborough,0.117,-0.068,9.7,111.6,28.6,8.6,459.0,18.7,0.074,125.7,50.0,56.4,2447.0,4342.0,50.5,4.15,180.0,13.7,53.0,2.0,3.5,12.5,7.5,2.89,15.4,27.8,6.0,107414,0.09,0.1,15.4,42.3,95.8,19.7,0.053,14.1,24.6,164.0,18.3,3.8,2.54,0.003,97.0,70.0,0.088,14831.0,80.7,17.9,-0.109,42.2,8.2,11.5,0.901,10.8,89.2,75961.0,0.48,359,3.0,7071,0.98,22.6,6665,42.0,2070.0,very high
Southbridge,0.34,-0.213,12.6,108.9,118.6,10.6,406.8,19.5,0.031,124.4,28.0,53.6,1443.0,2524.0,51.8,4.49,113.0,12.4,60.5,49.6,0.0,50.0,10.2,2.41,30.4,7.2,6.3,18177,0.0,1.8,22.1,36.6,48.1,43.8,-0.144,20.2,35.7,160.0,21.4,6.3,-0.05,0.003,34.0,256.0,0.153,12894.0,77.1,12.6,0.073,35.0,6.6,40.1,0.951,16.9,83.2,58909.0,0.35,274,37.2,11168,0.48,36.2,7261,15.0,4234.0,medium
Southwick,0.115,-0.076,7.9,741.9,,11.2,456.7,,0.048,96.2,44.0,47.5,865.0,1781.0,50.4,1.82,32.0,8.5,137.6,1.1,23.9,10.6,4.9,2.56,24.2,10.3,10.1,30607,-0.01,0.2,28.4,43.0,75.8,,0.166,36.3,36.4,156.0,22.0,8.8,2.33,0.001,35.0,153.0,0.14,,88.8,18.3,,50.8,252.4,5.3,0.926,5.9,94.1,,,416,15.6,6401,0.86,22.2,5732,-15.0,2194.0,low
Spencer,0.166,-0.206,10.6,480.0,53.7,10.3,412.0,,0.016,110.9,34.0,50.8,662.0,1219.0,50.1,2.53,31.0,11.0,113.2,5.1,21.1,36.9,5.3,2.45,26.9,13.6,6.1,23487,0.03,1.1,17.1,40.5,66.5,,0.107,33.5,33.3,142.0,17.9,11.6,0.66,0.003,7.0,181.0,0.159,,87.1,22.6,,38.6,237.9,10.2,0.941,8.9,91.1,,,366,19.4,7843,0.36,25.8,6412,-5.0,2760.0,medium
Springfield,0.283,-0.087,14.9,76.6,163.2,11.8,363.3,17.3,0.045,48.3,80.0,61.6,2116.0,3208.0,52.6,3.59,115.0,9.2,30.1,5.4,6.6,45.2,21.8,2.6,30.0,7.4,6.6,13136,0.0,6.3,12.8,32.0,34.6,86.7,-0.063,10.1,58.2,234.0,35.7,7.3,-0.06,0.001,173.0,459.0,0.006,14548.0,72.6,6.8,-0.003,34.4,6.8,55.7,0.938,16.4,83.7,58503.0,0.37,209,103.9,94641,0.29,52.6,54373,47.0,38388.0,medium
Sterling,0.09,-0.164,8.6,324.0,51.1,9.3,461.3,,0.038,83.5,,,,,50.8,,,,97.8,3.8,16.5,13.8,4.0,2.73,18.1,21.6,9.0,38982,0.01,0.3,14.1,42.8,95.5,,0.208,34.2,34.9,,22.9,,2.6,0.003,59.0,114.0,0.031,,86.2,29.8,,40.0,93.2,7.7,0.917,12.4,87.6,,,405,17.7,5920,0.91,18.2,5451,7.0,1671.0,high
Stockbridge,0.137,-0.099,4.1,472.5,253.1,10.8,571.1,,,204.9,88.0,35.4,1304.0,2980.0,53.0,1.31,39.0,9.9,111.6,56.5,10.9,42.4,0.6,1.97,39.8,19.2,21.6,29347,-0.07,0.5,102.7,46.5,52.0,,-0.411,16.9,18.5,233.0,30.6,7.8,-0.16,-0.006,85.0,276.0,0.105,,90.0,8.2,,48.6,82.6,1.5,0.848,,88.3,,,372,30.7,1547,-0.24,44.2,1363,63.0,313.0,medium
Stoneham,0.282,-0.071,10.6,59.2,63.3,8.8,492.9,16.5,0.188,98.1,74.0,40.7,1119.0,2587.0,52.7,4.19,108.0,21.1,44.9,31.7,9.6,26.8,5.4,2.36,31.9,13.3,9.2,34028,0.01,0.7,11.7,43.7,48.7,13.0,0.076,15.2,28.6,140.0,17.6,5.4,0.62,0.01,134.0,119.0,0.115,13226.0,88.1,18.1,-0.113,42.5,0.0,12.4,0.84,9.5,90.5,61959.0,0.31,294,13.3,15285,0.24,32.8,14322,23.0,5355.0,very high
Stoughton,0.242,-0.174,10.0,95.7,47.5,9.4,475.8,17.2,0.157,132.5,39.0,57.6,1371.0,2317.0,52.1,5.39,125.0,7.7,38.7,0.7,0.2,16.8,10.5,2.59,25.6,15.4,10.1,27917,-0.01,0.9,15.6,43.2,59.6,31.4,-0.037,16.3,54.8,168.0,19.9,7.3,1.42,0.007,140.0,222.0,0.131,11960.0,78.5,21.1,-0.028,43.4,1.1,18.2,0.938,7.0,93.0,69366.0,0.48,317,32.5,18151,0.24,35.3,15623,33.0,6667.0,high
Stow,0.135,-0.086,9.7,300.5,21.0,9.5,488.9,,0.101,64.6,44.0,64.5,2120.0,3245.0,50.8,2.49,81.0,7.0,68.2,7.6,22.2,18.0,5.9,2.71,17.4,25.9,7.3,56053,0.06,0.3,13.7,42.3,85.7,,-0.041,24.7,18.1,186.0,24.1,5.7,2.88,0.01,102.0,94.0,0.099,,91.2,21.9,,43.6,22.5,3.8,0.961,7.1,92.9,,,367,3.0,5032,0.79,23.2,4964,46.0,1722.0,high
Sturbridge,0.107,-0.156,8.4,603.2,47.3,9.1,475.9,21.8,0.056,231.1,46.0,55.2,1590.0,2882.0,50.7,3.62,104.0,9.4,101.9,3.2,13.6,15.1,5.5,2.56,22.6,18.7,4.1,36967,0.01,0.3,35.6,40.4,97.0,11.3,0.123,26.7,23.0,195.0,24.7,6.8,2.3,0.003,21.0,189.0,0.196,11769.0,81.3,16.5,0.038,45.7,53.8,10.1,0.955,8.5,91.5,67781.0,0.25,370,30.9,6631,1.21,24.5,6093,15.0,2725.0,medium
Sudbury,0.04,-0.059,7.8,108.2,9.0,8.4,444.9,20.5,0.035,85.3,73.0,64.9,2805.0,4307.0,51.2,4.16,179.0,12.3,32.8,3.4,3.9,9.6,5.2,3.02,11.9,33.2,8.4,98133,-0.12,0.1,11.9,41.8,79.2,16.0,0.093,13.9,21.5,149.0,18.0,3.5,5.8,0.01,317.0,42.0,0.107,12899.0,92.9,14.7,-0.068,57.5,2.8,8.4,0.948,6.3,93.7,64999.0,0.38,319,0.6,12412,0.44,27.6,12354,54.0,3858.0,very high
Sunderland,0.143,-0.043,7.6,211.7,,10.1,468.8,16.6,0.036,54.6,30.0,58.2,1064.0,1724.0,50.8,1.14,20.0,7.0,72.5,2.7,2.8,16.1,7.5,2.21,29.0,24.1,5.3,23816,0.01,0.0,27.1,30.5,55.2,27.9,0.029,19.5,10.9,83.0,13.5,4.8,3.07,0.004,19.0,,0.063,14058.0,88.0,9.0,-0.145,22.0,159.6,19.6,0.949,9.4,90.6,62552.0,0.14,272,,2540,1.08,35.0,2050,59.0,747.0,high
Sutton,0.097,-0.11,7.3,422.8,60.0,9.6,465.4,19.8,0.047,87.8,18.0,55.0,1565.0,2775.0,50.7,1.34,37.0,13.2,129.5,4.5,14.3,25.0,4.7,2.79,16.9,18.4,8.0,42147,0.03,0.2,10.0,41.7,95.5,7.1,0.186,32.0,33.9,159.0,22.2,5.7,1.89,0.004,40.0,127.0,0.205,11329.0,88.3,25.5,-0.053,38.8,72.3,22.1,0.884,5.4,94.6,68529.0,0.38,395,11.0,6833,1.1,17.5,6318,0.16,1970.0,high
Swampscott,0.305,-0.137,9.1,189.3,30.2,8.6,457.1,21.0,0.187,70.5,47.0,47.6,1735.0,3466.0,53.0,6.08,211.0,16.2,46.1,3.6,3.2,48.4,4.4,2.46,25.9,18.7,7.2,60646,0.12,0.9,13.1,44.4,45.8,14.0,-0.172,12.3,21.2,232.0,23.8,6.7,0.19,0.008,120.0,,0.134,13746.0,92.7,23.4,0.002,47.0,0.0,6.3,0.898,5.6,94.4,69684.0,0.32,300,,10257,0.13,32.4,9572,45.0,3066.0,very high
Swansea,0.032,-0.156,7.1,421.7,39.7,10.5,491.8,16.8,0.004,156.4,21.0,55.0,1174.0,2073.0,51.0,1.8,37.0,19.6,82.2,19.5,7.5,20.5,4.3,2.57,21.4,7.4,11.7,26821,-0.13,0.7,18.9,45.0,70.7,4.9,0.287,41.3,47.0,193.0,22.6,9.3,1.59,0.001,10.0,240.0,0.159,11504.0,84.2,42.2,-0.012,47.6,5.0,17.7,0.916,6.1,93.9,61142.0,0.41,387,26.2,11892,0.38,33.1,10034,-4.0,3984.0,low
Taunton,0.326,-0.189,12.4,178.8,80.6,10.1,429.9,21.0,0.107,116.4,35.0,45.3,1213.0,2636.0,52.1,6.34,167.0,26.4,57.9,17.0,8.6,34.0,14.1,2.47,28.9,9.4,6.7,21036,-0.01,2.1,14.5,38.4,57.6,26.9,0.103,22.9,43.6,191.0,19.6,7.3,0.39,0.001,48.0,151.0,0.23,11417.0,78.0,40.6,-0.023,35.0,3.0,31.3,0.932,14.5,85.5,74147.0,0.33,310,47.5,35281,0.46,33.6,26773,14.0,14402.0,medium
