town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,vax_level
Norfolk,0.056,-0.044,8.1,161.2,25.7,9.4,372.0,21.6,0.043,44.3,46.0,55.2,1507.0,2732.0,39.8,4.02,110.0,11.0,51.9,2.7,6.6,8.2,2.9,2.95,12.4,21.8,4.2,44264,0.02,0.0,8.0,41.2,89.8,7.8,0.136,20.1,23.6,158.0,19.5,5.8,3.15,0.006,40.0,50.0,0.179,12635.0,93.2,21.5,-0.126,42.7,5.3,13.1,0.863,6.2,93.9,67514.0,0.23,344,0.9,6618,1.24,19.4,6853,22.0,3947.0,medium
North Adams,0.283,-0.064,9.4,108.0,,10.1,323.0,14.7,0.011,130.1,39.0,42.3,1200.0,2024.0,53.0,3.32,67.0,17.5,73.5,19.7,0.0,61.3,6.1,2.15,37.3,8.7,9.9,14479,-0.01,2.3,27.0,39.0,35.0,15.9,-0.123,18.7,18.7,94.0,23.9,4.7,-0.36,-0.006,29.0,434.0,0.223,14912.0,77.5,4.4,-0.042,41.8,69.7,46.1,0.971,20.8,79.2,66657.0,0.31,294,70.5,9112,0.05,33.9,5932,44.0,3199.0,medium
North Andover,0.282,-0.047,10.5,70.2,18.2,8.5,453.6,22.0,0.196,82.9,29.0,55.5,1312.0,2365.0,52.3,6.44,152.0,6.5,34.2,4.9,6.5,16.8,5.6,2.62,25.6,18.5,5.0,47602,-0.06,0.5,12.7,39.9,71.6,19.3,-0.187,12.4,25.6,141.0,16.8,6.0,2.34,0.008,171.0,,0.112,11603.0,87.0,16.4,0.035,45.1,0.4,9.5,0.84,9.1,90.9,65381.0,0.38,296,,18968,0.63,23.5,18012,25.0,7091.0,high
North Attleborough,0.221,-0.108,11.6,120.2,,9.3,456.3,19.3,0.116,88.4,33.0,50.9,1259.0,2473.0,51.3,4.99,124.0,16.8,52.8,5.2,6.1,19.9,5.9,2.61,24.9,13.4,4.7,32125,-0.04,0.5,13.6,38.4,70.7,12.8,0.161,22.4,31.1,139.0,18.0,5.6,1.36,0.001,36.0,,0.16,10139.0,79.0,20.6,-0.012,30.2,1.0,27.2,0.902,5.9,94.1,66698.0,0.33,341,,19326,0.96,21.0,17191,16.0,8123.0,medium
North Brookfield,0.151,-0.154,9.0,391.0,63.9,10.4,422.0,16.4,0.018,60.3,23.0,49.1,1193.0,2250.0,50.9,1.04,23.0,20.0,132.3,6.4,40.2,45.8,6.3,2.51,25.3,12.2,6.0,23491,0.03,0.0,17.1,40.7,69.3,9.3,0.213,36.5,48.3,86.0,,3.8,0.36,0.003,7.0,97.0,0.155,12295.0,91.9,22.2,-0.109,43.2,151.2,36.5,0.946,11.5,88.5,61514.0,0.34,370,33.8,3290,0.46,20.6,2715,-10.0,1126.0,low
North Reading,0.157,-0.077,10.1,122.9,18.6,9.5,450.4,21.6,0.131,58.5,33.0,51.5,1662.0,3229.0,50.8,5.22,169.0,17.5,68.8,1.3,2.8,8.5,5.1,2.71,21.8,17.3,8.9,46884,0.01,0.4,12.8,40.6,75.2,7.8,0.025,24.7,33.3,225.0,19.4,7.0,2.38,0.01,47.0,97.0,0.229,12498.0,87.1,18.9,-0.067,35.6,0.0,14.4,0.917,6.8,93.2,65121.0,0.39,364,9.9,10972,0.7,25.3,9930,15.0,4106.0,medium
Northampton,0.327,-0.029,7.0,161.1,53.3,9.9,469.9,17.3,0.137,113.3,56.0,40.3,1043.0,2490.0,56.9,4.37,109.0,20.8,42.3,4.6,8.2,46.5,6.9,2.12,37.2,32.7,6.8,26503,-0.06,0.9,33.3,38.6,47.1,29.6,-0.074,15.0,15.3,166.0,23.7,6.7,-0.02,-0.002,769.0,300.0,0.207,12528.0,80.0,5.9,-0.013,27.5,40.3,16.9,0.856,22.4,77.6,57173.0,0.26,232,40.0,20800,0.1,49.6,17925,77.0,6500.0,high
Northborough,0.172,-0.086,8.5,156.1,21.8,8.7,496.0,18.1,0.122,116.4,59.0,61.9,1992.0,3066.0,50.9,2.71,83.0,13.0,50.1,0.0,5.0,11.0,7.2,2.73,19.2,27.3,5.2,47888,0.07,0.3,18.4,40.4,76.7,20.2,0.197,19.4,29.4,147.0,19.0,4.8,3.53,0.003,110.0,126.0,0.07,12636.0,74.6,23.0,-0.002,41.7,13.4,9.2,0.937,5.2,94.8,75430.0,0.45,352,11.2,10717,0.84,22.2,9687,37.0,3107.0,very high
Northbridge,0.286,-0.142,11.3,,42.5,9.5,436.9,19.5,0.135,61.4,7.0,41.4,1374.0,3319.0,51.8,1.34,44.0,13.7,69.0,3.2,7.3,35.8,4.9,2.62,24.7,16.1,6.7,27666,-0.03,0.7,13.4,38.3,83.7,10.0,0.38,27.8,31.9,133.0,13.9,4.0,0.5,0.003,22.0,282.0,0.053,11129.0,86.5,20.4,0.027,38.6,28.6,40.4,0.892,9.5,90.5,63123.0,0.47,324,20.1,10489,0.59,21.4,9228,5.0,4653.0,low
Northfield,0.062,-0.051,8.9,254.0,39.4,10.4,452.2,,0.0,63.7,51.0,66.3,1356.0,1872.0,50.6,1.41,26.0,6.2,129.8,16.5,24.5,44.9,5.8,2.45,24.6,20.8,8.3,24769,-0.06,1.0,16.5,47.0,75.6,,0.131,31.3,21.2,77.0,9.8,4.1,0.35,0.003,10.0,137.0,0.046,,67.0,18.8,,39.4,282.7,4.7,0.924,10.2,89.8,,,393,3.3,2153,0.3,23.3,1855,33.0,709.0,low
Norton,0.226,-0.14,7.8,174.5,28.9,9.3,432.8,20.6,0.167,76.5,19.0,50.8,1233.0,2392.0,51.7,6.1,146.0,20.4,59.8,1.6,5.4,9.8,4.0,2.69,21.6,16.1,3.8,31234,0.08,0.5,16.3,39.2,87.7,7.4,0.285,26.8,37.6,122.0,15.1,5.1,3.32,0.001,55.0,67.0,0.176,12411.0,83.9,29.3,-0.088,37.9,3.7,27.3,0.907,14.9,85.1,69812.0,0.39,322,4.7,12039,1.18,22.1,10974,11.0,4504.0,medium
Norwell,0.042,-0.122,7.6,334.1,56.8,9.0,419.4,20.8,0.032,108.8,57.0,49.4,1893.0,3829.0,52.1,4.64,178.0,17.2,52.6,3.8,0.8,10.1,3.5,2.89,17.1,23.5,9.0,64495,-0.13,0.2,14.3,43.0,85.7,5.3,0.151,17.4,31.2,200.0,27.4,5.2,3.18,0.005,50.0,94.0,0.203,12074.0,84.4,32.8,0.002,51.9,6.6,10.0,0.944,7.2,92.8,72499.0,0.42,414,8.4,7788,0.43,22.4,7386,19.0,2136.0,very high
Norwood,0.255,-0.054,13.4,68.5,29.2,9.0,480.6,18.1,0.108,95.1,77.0,42.2,1557.0,3424.0,52.1,5.33,182.0,14.6,34.2,0.7,4.2,28.9,8.1,2.37,31.3,18.7,9.1,32915,0.07,0.5,17.8,41.8,54.5,25.7,-0.118,11.5,26.5,200.0,23.3,5.8,0.72,0.007,88.0,176.0,0.234,13497.0,69.7,16.4,0.031,40.7,1.4,5.7,0.875,5.0,95.0,66222.0,0.41,297,9.6,20723,0.18,34.3,17453,31.0,7872.0,high
Oak Bluffs,0.052,-0.139,10.4,812.9,65.4,13.7,524.0,13.8,0.016,61.6,95.0,39.0,1999.0,5124.0,50.9,0.87,45.0,15.3,71.5,15.5,8.6,31.1,9.0,2.24,35.1,16.9,6.0,16814,-0.23,0.9,72.9,41.9,62.7,26.6,0.033,41.7,22.6,382.0,,7.5,1.98,0.014,85.0,317.0,0.099,19437.0,92.8,78.9,-0.077,42.8,2.2,6.8,0.985,9.6,90.4,78222.0,0.32,624,30.2,3483,1.23,34.8,3209,53.0,1174.0,medium
Oakham,0.031,-0.137,7.4,536.3,,10.2,454.3,,0.002,13.1,31.0,61.0,903.0,1447.0,49.8,1.89,27.0,4.6,234.7,5.3,30.9,18.4,5.6,2.77,15.0,20.0,3.2,28228,-0.11,0.0,21.0,44.2,109.9,,0.429,42.1,24.8,94.0,,6.5,3.18,0.004,4.0,104.0,0.239,,93.1,40.5,,30.1,403.4,7.3,0.917,10.8,89.2,,,457,5.2,1365,1.0,16.4,1257,-9.0,549.0,low
Orange,0.11,-0.171,10.0,290.9,141.1,11.1,409.9,17.6,0.015,55.2,26.0,55.5,1203.0,2169.0,51.4,5.63,122.0,18.8,111.4,1.3,18.3,36.2,3.6,2.46,28.8,15.3,5.6,15999,-0.08,2.2,23.0,40.8,63.1,11.3,0.153,29.9,36.3,110.0,15.2,5.1,0.33,0.003,37.0,,0.215,11352.0,85.1,19.8,-0.185,44.2,73.8,36.2,0.968,9.7,90.3,55663.0,0.23,348,,4815,0.25,21.5,3800,8.0,2125.0,low
Orleans,0.165,-0.091,3.9,2370.1,158.0,10.8,560.6,15.8,0.123,110.7,291.0,29.9,1313.0,3979.0,52.9,8.78,350.0,14.0,98.7,6.8,8.7,18.6,2.2,1.97,37.5,28.7,1.6,36674,-0.2,0.3,61.1,62.4,54.1,10.9,0.107,21.1,16.9,378.0,48.9,9.5,2.35,-0.001,164.0,300.0,0.136,21458.0,92.1,77.1,0.096,62.1,0.0,1.5,0.989,6.2,93.8,63144.0,0.22,581,28.6,5429,0.33,24.9,4842,38.0,725.0,very high
Otis,0.007,,6.2,4261.8,,11.3,413.8,,0.0,84.4,83.0,52.9,1450.0,2743.0,49.1,1.02,28.0,6.7,168.5,0.0,22.5,21.3,2.4,2.28,23.7,16.3,8.0,24037,-0.16,0.6,43.4,50.5,86.1,,0.016,39.7,26.8,38.0,,1.4,3.49,-0.006,8.0,,,,93.6,16.7,,38.7,1098.6,3.1,0.91,5.1,94.9,,,509,,1132,0.85,24.2,1014,11.0,449.0,low
Oxford,0.182,-0.166,8.6,218.8,33.4,9.4,440.7,18.2,,127.9,29.0,50.3,1191.0,2350.0,51.0,,,19.0,86.1,3.6,9.8,22.4,4.0,2.59,25.7,13.4,4.9,25154,0.01,0.8,16.8,40.2,73.5,13.6,0.063,32.1,44.6,132.0,17.4,5.6,1.34,0.004,20.0,157.0,0.121,11955.0,79.5,22.2,-0.037,35.5,49.4,32.2,0.925,,91.7,60330.0,0.36,344,33.9,8932,0.58,26.0,7574,-2.0,3355.0,medium
Palmer,0.188,-0.097,9.7,315.5,48.6,10.7,487.0,18.1,0.037,160.5,71.0,57.4,1363.0,2199.0,50.2,,,20.0,122.3,2.5,14.1,34.7,4.3,2.37,29.8,9.2,12.5,22930,0.07,1.6,24.7,41.8,63.5,11.0,0.17,36.2,27.7,129.0,18.0,5.9,0.27,0.001,27.0,214.0,0.073,12541.0,82.9,16.6,-0.166,36.6,90.5,38.6,0.954,12.7,87.3,58531.0,0.32,386,38.3,8297,0.26,28.8,6503,-2.0,2932.0,medium
Paxton,0.031,-0.167,7.7,193.5,24.9,9.5,391.0,,0.011,65.3,43.0,51.2,1104.0,2145.0,50.0,2.19,47.0,5.8,102.1,2.1,4.9,15.2,3.8,2.78,15.9,20.5,7.7,35191,-0.04,0.0,12.5,43.5,80.4,,-0.012,16.6,30.4,179.0,39.3,8.3,3.51,0.003,5.0,74.0,0.208,,94.7,17.5,,52.0,114.1,7.6,0.891,13.8,86.3,,,324,6.2,3161,0.24,23.9,2962,12.0,1012.0,high
Peabody,0.245,-0.086,9.5,87.6,41.0,9.2,470.9,19.2,0.143,87.0,61.0,44.5,1017.0,2264.0,52.5,6.35,144.0,7.9,38.9,3.5,4.0,24.0,6.5,2.38,31.4,11.5,9.8,26611,-0.01,1.0,15.6,44.0,53.2,19.5,-0.008,17.5,41.4,175.0,19.2,7.7,1.26,0.008,146.0,212.0,0.178,13029.0,76.6,20.5,-0.023,52.2,1.7,16.4,0.853,9.7,90.3,73091.0,0.35,299,23.2,35849,0.35,33.1,30090,14.0,13198.0,medium
Pembroke,0.12,-0.11,9.6,287.0,31.2,9.5,393.8,20.3,0.07,93.5,43.0,52.0,1476.0,2685.0,50.9,4.7,126.0,20.1,75.9,0.6,4.4,10.4,4.4,2.82,19.3,12.0,6.7,32469,0.03,0.8,16.3,40.4,83.0,3.1,0.039,28.3,42.2,152.0,16.2,5.7,5.92,0.005,32.0,,0.085,10484.0,86.7,33.4,-0.035,37.8,2.8,26.1,0.94,7.3,92.8,65965.0,0.47,400,,12699,0.89,23.8,11753,8.0,4556.0,medium
Pepperell,0.139,-0.135,8.7,143.5,30.1,9.9,472.0,,0.063,87.4,40.0,62.0,994.0,1602.0,50.4,1.32,21.0,7.9,92.5,0.9,13.2,15.1,5.7,2.74,20.3,20.9,1.8,32346,0.02,0.8,6.1,40.6,88.3,,0.128,35.2,40.7,144.0,14.7,9.0,2.32,0.01,51.0,151.0,0.176,,93.9,20.4,,35.5,10.3,5.1,0.908,6.3,93.7,,,391,15.4,8202,1.12,20.5,7307,9.0,2788.0,medium
Petersham,0.036,-0.114,8.1,356.6,,10.6,489.5,16.3,0.0,48.6,12.0,64.2,1726.0,2499.0,48.9,1.21,30.0,6.2,187.4,32.4,21.7,46.9,3.7,2.43,23.3,28.9,12.2,25220,-0.04,0.8,56.7,47.9,95.3,10.6,0.607,36.5,22.3,134.0,16.1,5.3,0.52,0.003,29.0,,0.157,13310.0,89.4,44.6,0.17,40.9,129.2,25.1,0.918,24.6,75.4,44340.0,0.45,424,,961,0.53,22.6,872,24.0,252.0,low
Pittsfield,0.213,-0.059,11.4,227.8,103.2,9.6,393.7,16.6,0.033,123.9,35.0,42.5,1184.0,2188.0,52.0,5.05,111.0,24.3,64.4,4.7,8.9,41.2,8.9,2.22,35.3,13.3,9.8,21770,-0.08,4.3,27.3,42.6,38.3,27.5,0.055,19.0,23.8,144.0,23.3,6.6,-0.16,-0.006,277.0,261.0,0.15,12709.0,78.5,6.1,-0.022,40.2,113.8,35.6,0.939,17.4,82.7,58114.0,0.29,292,42.6,30182,0.03,43.5,21942,52.0,10004.0,high
Plainfield,0.032,-0.201,6.2,169.8,,10.4,504.6,,,55.6,26.0,50.9,1186.0,2330.0,50.3,1.49,35.0,8.5,117.5,0.0,51.3,34.6,0.0,2.4,25.7,28.4,5.4,17895,-0.04,1.5,30.9,52.8,86.3,,-0.045,32.4,22.3,23.0,,1.0,1.84,-0.002,30.0,,0.074,,82.8,20.1,,33.3,448.2,7.4,0.91,,88.2,,,478,,473,1.01,25.7,443,45.0,107.0,medium
Plainville,0.216,-0.134,12.5,160.9,33.6,9.1,492.4,21.4,0.125,92.8,22.0,33.9,1465.0,4295.0,51.0,4.5,193.0,7.9,76.8,0.0,12.0,11.2,4.3,2.49,27.0,16.3,4.8,34299,0.1,0.2,26.6,39.1,76.0,14.9,0.202,29.5,30.6,157.0,22.9,3.7,2.96,0.007,1.0,185.0,0.054,12283.0,72.6,27.2,-0.035,36.8,4.8,17.0,0.949,6.3,93.7,65969.0,0.29,360,9.5,5845,0.9,21.0,5823,12.0,2503.0,medium
Plymouth,0.152,-0.125,9.9,453.7,34.5,9.1,421.0,18.0,,85.3,39.0,56.8,1345.0,2352.0,50.6,6.37,150.0,9.2,70.8,3.5,9.3,17.3,6.1,2.55,23.7,19.6,3.2,28762,0.0,0.9,21.8,41.3,86.7,9.8,0.116,21.3,33.5,152.0,20.8,6.4,3.15,0.005,366.0,,0.141,13099.0,77.9,53.7,-0.037,41.1,4.8,15.7,0.925,,91.9,61507.0,0.36,375,,39277,0.7,24.0,37336,16.0,15199.0,medium
Plympton,0.029,-0.177,7.8,379.4,42.3,10.4,416.0,15.8,0.012,76.2,45.0,59.2,1599.0,2701.0,50.9,1.78,48.0,9.4,129.7,3.5,12.9,12.7,4.8,2.8,17.8,12.3,1.9,31226,-0.02,0.7,10.6,43.9,102.2,2.5,0.365,46.5,55.7,253.0,28.2,9.4,3.05,0.006,18.0,262.0,0.071,12783.0,81.3,61.3,0.061,52.5,10.6,9.7,0.944,3.5,96.5,72010.0,0.32,477,7.0,2094,0.76,16.2,1918,3.0,649.0,medium
Princeton,0.023,-0.149,7.0,278.3,38.0,9.9,498.7,,0.004,58.6,47.0,60.2,1474.0,2372.0,49.9,2.79,66.0,7.1,124.1,17.6,8.2,21.2,3.0,2.67,14.9,25.5,6.7,47692,-0.02,0.3,23.4,44.4,106.8,,0.167,39.0,24.2,206.0,26.2,8.7,2.31,0.003,25.0,124.0,0.079,,95.6,29.3,,34.7,43.8,4.4,0.864,11.9,88.1,,,433,2.9,2737,0.86,18.3,2575,21.0,635.0,high
Provincetown,0.725,-0.125,6.1,1373.2,47.6,10.7,623.4,8.0,0.515,48.9,144.0,14.4,1058.0,5716.0,45.5,2.4,137.0,24.3,58.5,34.0,0.0,50.9,1.6,1.64,54.3,28.7,3.6,34764,0.08,1.4,237.9,51.8,41.4,40.9,-0.174,24.1,7.4,598.0,87.8,10.5,-0.22,-0.001,176.0,394.0,0.159,33811.0,82.2,41.5,-0.378,28.2,0.0,2.3,0.984,7.9,92.1,58968.0,0.16,515,91.0,2975,-0.05,57.2,2613,85.0,452.0,very high
Quincy,0.435,-0.087,13.1,212.1,59.3,9.1,392.7,19.4,0.227,110.2,54.0,35.6,915.0,2565.0,52.1,7.7,198.0,26.9,29.4,11.7,1.6,42.4,7.7,2.24,37.7,15.5,6.1,27658,0.02,1.3,16.5,38.5,37.4,49.3,-0.205,9.6,34.2,238.0,23.1,9.3,0.1,0.007,293.0,167.0,0.051,14221.0,81.4,20.3,0.033,33.0,1.0,13.3,0.879,12.8,87.2,72931.0,0.41,237,42.8,63444,0.3,41.2,45793,35.0,30503.0,high
